Genes	logFC	PValue	FDR
3079_1	6.81248163667921	2.16618468053797e-14	1.59756120189675e-12
264_7	5.2874432051703	2.6525884428416e-14	1.94545443224506e-12
4_164	6.09635063422791	2.65648110585862e-14	1.94545443224506e-12
106_112	-3.19483396831202	2.87304788087102e-14	2.09672431584821e-12
44825	4.91270262950417	2.99693245411604e-14	2.17953993928682e-12
8_89	-3.17259876534186	3.37874914898662e-14	2.44871629500086e-12
49_84	-3.23910459373362	3.40522459374571e-14	2.45939410744841e-12
238_6	3.83370665272919	3.55658654387277e-14	2.55988677530636e-12
55_80	4.01377574707695	3.99822128492952e-14	2.85869665423967e-12
6_207	-4.65977752364648	3.99903614080794e-14	2.85869665423967e-12
26_63	-4.49157595048562	4.09999926553433e-14	2.92090083729988e-12
9_214	4.04774868111635	4.39973974946197e-14	3.123815222118e-12
49_77	3.16329384257495	4.43987445693404e-14	3.14166116555687e-12
75_21	-3.90842002014628	4.55094755726351e-14	3.20941402649442e-12
30909	-5.14715351604478	4.73304041949655e-14	3.32662857672333e-12
179_50	-3.14728810172801	4.75631733378734e-14	3.33180824602595e-12
30_62	9.43718162297149	4.842898127135e-14	3.38115004242808e-12
16_199	3.15399231652687	5.59055467160001e-14	3.89017168095224e-12
217_19	3.14087691721582	5.70680961032583e-14	3.95791812212829e-12
95_76	-3.09894593359473	6.21771506700162e-14	4.29802119070459e-12
8_322	9.86040763655332	6.55036485251225e-14	4.51307209986412e-12
119_43	-3.06675627689917	7.04087956579237e-14	4.83512204936135e-12
4_46	-2.90946349854539	7.15616330425216e-14	4.89823007867848e-12
3_249	-3.66623141805494	7.57810508392178e-14	5.1701436802196e-12
27379_1	4.50927142499829	8.45566193432199e-14	5.75012464981734e-12
74_94	-3.15077410859591	8.98791457085821e-14	6.09229354972897e-12
11_119	-3.44000148939368	9.03603461386205e-14	6.10515306410776e-12
44618	4.76493594880623	9.93137057359691e-14	6.68850664514429e-12
212_5	-5.51481814410122	1.15339592248484e-13	7.74290948604004e-12
109_28	-3.82380941154328	1.21171050068404e-13	8.10839502774031e-12
85_127	-2.98285174598866	1.2238183293733e-13	8.16333595819225e-12
194_9	-4.01007428841013	1.29060518681808e-13	8.5815002025094e-12
2_272	-3.36329965448469	1.35330338811585e-13	8.96991755192613e-12
187_16	-3.67694545290734	1.40564257490173e-13	9.28743966287593e-12
55_137	-3.15433476165027	1.45297416897036e-13	9.56998238021513e-12
200_1	-3.32995436519455	1.48432576813717e-13	9.74583172841158e-12
1_48	8.73709673521058	1.66950068392144e-13	1.09274036952296e-11
62_87	5.46458068939525	1.7091066033278e-13	1.1151787478723e-11
109_5	-3.16968299112805	1.88020278770047e-13	1.22101656148341e-11
192_13	3.42777293230961	1.88297135048528e-13	1.22101656148341e-11
1_433	-5.21700635569727	2.1167723833495e-13	1.3683888138659e-11
26_272	4.3319629020622	2.1799762268572e-13	1.40491083296997e-11
714_2	-4.52863026810375	2.38046937765125e-13	1.5294150648744e-11
9_175	-2.97343704084465	2.41003394157492e-13	1.54367464545219e-11
55_166	2.9450583988651	2.6596389874382e-13	1.69835788389918e-11
34171	9.64531717305089	2.72938645168906e-13	1.73759876080934e-11
3_433	-2.95156909939531	2.74343510223573e-13	1.74124994594931e-11
13_299	-3.08645799432852	2.99164268981081e-13	1.8930500343833e-11
103_89	-3.02545727705463	3.06839179670642e-13	1.93576705367518e-11
38626	-5.25967359723581	3.16047237172196e-13	1.98787068545695e-11
43_102	-3.71919821540312	3.26769122458493e-13	2.04632854746306e-11
44_18	-3.38338849291057	3.27295327476785e-13	2.04632854746306e-11
9_335	5.3278955542655	3.29578211220245e-13	2.05446893869287e-11
3_304	-3.8505587843316	3.47695851688612e-13	2.16097614647418e-11
194_2	-3.48931948262442	3.61022263628477e-13	2.23716310996996e-11
69_83	2.80175097689183	3.85977649413739e-13	2.38474981326571e-11
9_233	-3.08670145764765	3.87433330938917e-13	2.38670326956341e-11
109_4	-3.29523271245586	3.92345655753683e-13	2.40764364550911e-11
3_332	-4.61454106838915	3.93131595494922e-13	2.40764364550911e-11
44_79	-3.15099461540371	3.96874758148895e-13	2.42348157709289e-11
12_219	-3.05084773817034	4.15830421946215e-13	2.53185121734403e-11
108_53	6.27249318871435	4.86481203433381e-13	2.95343443649628e-11
5_357	-2.96564845078736	5.14702930670465e-13	3.11573782742569e-11
209_8	-4.54070173527736	5.49861305664758e-13	3.31897551791019e-11
282_15	5.17541893087074	5.53025082503598e-13	3.32847998650513e-11
36_79	-3.26723767690659	5.79496707129147e-13	3.47781046728367e-11
3_138	4.59888007841841	6.11780235653879e-13	3.66106772450585e-11
3_291	-3.17879644736847	6.91192334414186e-13	4.12450810379063e-11
2_209	5.97436969400161	7.2599787100772e-13	4.31989358189111e-11
1_193	-3.92963251572187	7.43687669603447e-13	4.41261706511167e-11
28_56	-5.61451985124136	7.47484238076373e-13	4.4226150752852e-11
20_26	-3.0125882537307	7.62547241241207e-13	4.49902872332312e-11
368_3	-3.83047607654054	8.11689474807551e-13	4.76538855374079e-11
23_91	2.86975528551433	8.12243358169234e-13	4.76538855374079e-11
92_65	-3.31745488388011	8.4164086124394e-13	4.92068606828054e-11
44_80	-5.16014783883829	8.43411935312825e-13	4.92068606828054e-11
1079_1	-3.23354037051385	8.58874757761836e-13	4.99698105592268e-11
1133_2	-3.18376352413551	9.06706123762902e-13	5.26065367374349e-11
1_254	-9.26210396679241	9.20474541097567e-13	5.32578432687529e-11
390_3	-3.16131778627106	9.762535055378e-13	5.63295583291714e-11
5_13	-4.26457646132953	1.03016857519059e-12	5.92771450751840e-11
473_3	-3.0000441455067	1.10609412733868e-12	6.34716205400239e-11
3_360	3.18730846767408	1.11233932242567e-12	6.36555931918186e-11
19_94	-3.39152444356651	1.39554593105758e-12	7.96449850844713e-11
136_7	-3.5190945280796	1.40763717514327e-12	8.01167408515646e-11
106_117	-4.20862707993697	1.4122378458223e-12	8.01607633624609e-11
36_202	-6.35134454648517	1.4534982833028e-12	8.22797879561545e-11
160_23	4.46346395138516	1.45770218177854e-12	8.22953428500038e-11
10_266	-3.20806590533327	1.58170646014563e-12	8.90560263649199e-11
5_28	6.28760916381693	1.63858491225251e-12	9.20111554614712e-11
8_100	3.63704485749734	1.71360332331385e-12	9.59663679326434e-11
2_228	-3.10590349399669	1.95304492825208e-12	1.08857500989673e-10
27631_1	-3.15639048673102	1.95418574228298e-12	1.08857500989673e-10
78_42	-8.98683819623737	2.02017051879696e-12	1.1223467245677e-10
189_33	3.27114724163194	2.09333676712285e-12	1.15991901024836e-10
1_362	-5.48326325278589	2.10128917667399e-12	1.16125334578989e-10
40_21	7.67682143815947	2.10898278373739e-12	1.16243801066789e-10
18_81	-4.76143731317354	2.12208255899982e-12	1.1665884304003e-10
43_123	-4.8554587410052	2.19705124876048e-12	1.20463974882954e-10
16_109	-3.677265391764	2.25213486074536e-12	1.23161787619612e-10
3_339	4.7219973375514	2.27966527352609e-12	1.24342680088552e-10
4_79	-3.82858970993557	2.30093467895441e-12	1.25099538193578e-10
1_191	-2.80695549108037	2.3054868342192e-12	1.25099538193578e-10
13_305	-3.21068977062176	2.38771312933577e-12	1.29226489648418e-10
14_107	-2.84005909278103	2.685487925871e-12	1.44967898472598e-10
37_179	-4.76245529589299	2.77528589380907e-12	1.49430239192368e-10
1_351	-3.62213400677884	2.959183750932e-12	1.58923342726335e-10
18_106	-2.97057354502709	3.00359212495707e-12	1.60895746949427e-10
106_3	8.96225791201621	3.12370906736609e-12	1.66903281673425e-10
3_307	-8.82074227331692	3.33489491762059e-12	1.7773377620754e-10
31827_1	-2.6436698615579	3.59986546854426e-12	1.91368482839237e-10
6_357	3.15947268829567	3.66149548107478e-12	1.94151956585092e-10
2_244	-2.91076684325331	4.38178228779705e-12	2.31758661661387e-10
179_44	-2.95187453672817	4.62408873674116e-12	2.43958535493813e-10
34680	-5.39163002756004	4.69184827552468e-12	2.46911462640363e-10
23_104	4.14920095495775	4.73351013895164e-12	2.48479623710131e-10
